,SP500_MM_30,BOVESPA_MM_30,OURO_MM_30,PETROLEO_MM_30,FERRO_MM_30,DOLAR_MM_30,SELIC_MM_30,VALE_MM_30,SP500_FECHAMENTO_ANTERIOR,BOVESPA_FECHAMENTO_ANTERIOR,OURO_FECHAMENTO_ANTERIOR,PETROLEO_FECHAMENTO_ANTERIOR,FERRO_FECHAMENTO_ANTERIOR,DOLAR_FECHAMENTO_ANTERIOR,SELIC_FECHAMENTO_ANTERIOR,VALE_FECHAMENTO_ANTERIOR,RESULTADO
1809,2744.6213333333335,74093.63333333333,1375.9133178710938,76.49033381144206,65.14199943542481,3.766813349723816,6.5,49.07066663106283,2736.61,74553.0,1347.4,77.39,63.06,3.9186,6.5,48.31,6
1810,2745.800666666667,73836.0,1374.3299845377603,76.40833384195963,65.02466608683268,3.7760200182596844,6.5,49.00600001017253,2759.82,75010.0,1344.6,77.11,62.99,3.9258,6.5,48.93,6
1811,2747.8190000000004,73635.83333333333,1372.8533203125,76.37700042724609,64.91933275858561,3.782503350575765,6.5,48.92800000508626,2793.84,74862.0,1344.9,78.86,63.19,3.8446,6.5,48.14,6
1812,2749.361,73445.06666666667,1370.4833211263021,76.19733378092448,64.81333274841309,3.7891066869099936,6.5,48.811333338419594,2774.02,74399.0,1333.1,73.4,63.18,3.8411,6.5,47.49,6
1813,2751.926333333334,73343.66666666667,1368.2166544596355,76.13100026448568,64.71166598002115,3.7956966876983644,6.5,48.77800000508626,2798.29,75856.0,1335.2,74.45,63.21,3.8558,6.5,49.04,6
1814,2755.6413333333335,73361.06666666667,1366.059989420573,76.12900034586589,64.61066614786783,3.8005500157674152,6.5,48.7830000559489,2801.31,76594.0,1329.0,75.33,63.24,3.8739,6.5,48.9,6
1815,2758.1220000000003,73357.7,1363.7533243815103,75.94033355712891,64.52099965413412,3.804580020904541,6.5,48.76266670227051,2798.43,76653.0,1327.5,71.84,63.33,3.8573,6.5,48.6,6
1816,2760.6196666666665,73387.36666666667,1361.2366577148437,75.7860003153483,64.47333297729492,3.8087733507156374,6.5,48.69600003560384,2809.55,78130.0,1314.6,72.16,63.1,3.8665,6.5,49.28,6
1817,2762.911333333334,73346.26666666666,1358.7533243815103,75.70633366902669,64.43133303324382,3.81227335135142,6.5,48.661333338419595,2815.62,77363.0,1315.0,72.9,63.3,3.8468,6.5,50.01,6
1818,2764.7676666666666,73374.43333333333,1355.9499918619792,75.61300048828124,64.39133313496907,3.8159233490626017,6.5,48.52233327229818,2804.49,77487.0,1310.4,72.58,63.58,3.8841,6.5,48.05,6
1819,2765.750333333333,73456.23333333334,1353.3799926757813,75.53666712443034,64.33933321634929,3.814590017000834,6.5,48.28433329264323,2801.83,78571.0,1316.8,73.07,63.61,3.7787,6.5,47.36,2
1820,2766.9706666666666,73594.4,1350.5766560872396,75.39466705322266,64.29133326212565,3.810973350207011,6.5,48.12966664632162,2806.98,77996.0,1310.7,73.06,63.73,3.7909,6.5,48.21,2
1821,2768.349666666667,73801.5,1347.7766560872396,75.29400049845377,64.26100006103516,3.8096400181452434,6.5,48.14333330790202,2820.4,79155.0,1310.8,73.44,63.83,3.7453,6.5,49.87,2
1822,2770.485333333333,74065.16666666667,1345.1366536458333,75.20966720581055,64.21733334859212,3.8103300174077352,6.5,48.172333272298175,2846.07,80218.0,1316.7,73.93,63.87,3.7114,6.5,50.3,2
1823,2772.1716666666666,74286.86666666667,1342.4466552734375,75.1650006612142,64.16833330790202,3.8109933535257974,6.5,48.20733324686686,2837.44,79405.0,1311.5,74.54,63.93,3.7237,6.5,51.3,2
1824,2773.6113333333333,74545.0,1339.6166544596354,75.0833340962728,64.12633349100749,3.8113600254058837,6.5,48.26866658528646,2818.82,79866.0,1309.0,74.29,64.08,3.7158,6.5,51.95,2
1825,2774.2816666666668,74840.16666666667,1336.5066528320312,75.05100072224936,64.0810001373291,3.8116866906483966,6.5,48.35366668701172,2802.6,80276.0,1307.7,74.97,64.2,3.7149,6.5,52.81,2
1826,2775.5026666666668,75122.23333333334,1334.509989420573,75.07800064086913,64.04633344014486,3.811056693394979,6.5,48.5386666615804,2816.29,79220.0,1309.8,74.25,64.35,3.7543,6.5,53.3,2
1827,2776.823,75438.46666666666,1332.259989420573,74.97966740926107,64.09166679382324,3.810883363087972,6.5,48.66333325703939,2813.36,79302.0,1304.0,72.39,66.66,3.7485,6.5,51.57,2
1828,2778.9773333333337,75713.23333333334,1329.813321940104,74.92533391316732,64.15333340962728,3.81114669640859,6.5,48.810333251953125,2827.22,79637.0,1296.2,73.45,66.86,3.7639,6.5,51.36,6
1829,2781.4116666666664,76023.63333333333,1327.6033243815104,74.87433395385742,64.26099993387858,3.810700035095215,6.5,48.98066660563151,2840.35,81435.0,1299.4,73.21,68.24,3.7195,6.5,52.55,6
1830,2784.7663333333335,76389.5,1325.3433227539062,74.8976671854655,64.39933331807454,3.8084333658218386,6.5,49.19766667683919,2850.4,81051.0,1293.6,73.75,69.08,3.7208,6.5,52.4,6
1831,2788.2186666666666,76713.03333333334,1323.0933227539062,74.86766713460287,64.54799995422363,3.806616695721944,6.5,49.40066668192546,2858.45,80347.0,1294.2,74.65,69.35,3.7112,6.5,52.75,6
1832,2792.9063333333334,76986.33333333333,1320.9999918619792,74.7860003153483,64.67899996439616,3.805813368161519,6.5,49.61933339436849,2857.7,79152.0,1296.8,72.28,68.81,3.7513,6.5,52.4,6
1833,2797.257,77231.76666666666,1319.1933268229166,74.64466705322266,64.81333325703939,3.806843368212382,6.5,49.78100001017253,2853.58,78768.0,1295.8,72.07,68.94,3.8024,6.5,51.84,6
1834,2801.712,77428.6,1317.4966593424479,74.48433354695638,64.9376667022705,3.80722336769104,6.5,49.94466667175293,2833.28,76514.0,1294.6,72.81,68.58,3.8466,6.5,51.71,6
1835,2805.2326666666672,77619.56666666667,1315.2999918619792,74.30966695149739,65.06233355204265,3.808780034383138,6.5,50.09733327229818,2821.93,77496.0,1274.1,72.61,68.55,3.8982,6.5,52.28,6
1836,2809.285666666666,77814.2,1313.0399943033854,74.07700017293294,65.16766675313313,3.8096266984939575,6.5,50.249333190917966,2839.96,78602.0,1275.9,72.46,67.96,3.8806,6.5,52.76,6
